bee,colony,queen,group,PreExposure,framesOnNest,framesOffNest,AtoI_Unbumped_OnNest,ItoA_Unbumped_OnNest,AtoI_Bumped_OnNest,ItoA_Bumped_OnNest,AtoI_Unbumped_OffNest,ItoA_Unbumped_OffNest,AtoI_Bumped_OffNest,ItoA_Bumped_OffNest
4763,1,0,2,0,1701,3827,0.0251299826689775,0.459016393442623,0.0133630289532294,0.636363636363636,0.0806023029229407,0.0364691255698301,0.0277777777777778,0.307692307692308
4819,1,0,2,0,1741,823,0.0127272727272727,0.317073170731707,0.00722021660649819,0.384615384615385,0.0124031007751938,0.380952380952381,0,NaN
4690,1,0,3,0,382,5207,0,NaN,0,NaN,0.0725925925925925,0.0255516840882695,0.0740740740740741,0.121951219512195
4625,1,0,3,0,549,4740,0.0196629213483146,0.4375,0.00694444444444442,0.2,0.0574121679520138,0.0234724292101341,0.0328767123287671,0.0328227571115974
4452,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4701,1,0,1,0,3310,1013,0.0110864745011087,0.0826771653543307,0.00916030534351142,0.2,0.0297805642633229,0.215189873417722,0.0218340611353712,0.291666666666667
4856,1,0,2,0,2052,2005,0.0206052801030264,0.622641509433962,0.0123762376237624,0.5,0.0280504908835905,0.0270655270655271,0.0689655172413793,0.030379746835443
4111,1,0,2,0,1848,3873,0.0302351623740201,0.0429936305732484,0.0244897959183673,0.181818181818182,0.141987829614604,0.0231175693527081,0.0427350427350427,0.0307692307692308
4396,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4327,1,0,1,0,1469,861,0.0297555791710946,0.131067961165049,0.00966183574879231,0.0416666666666667,0.017636684303351,0.0449438202247191,0,0.142857142857143
4173,1,0,1,0,107,4450,0,NaN,0,NaN,0.0220492866407264,0.0304347826086957,0.0230263157894737,0.0747663551401869
4430,1,0,2,0,1355,4244,0.00300300300300305,0.2,0,1,0.0149647887323944,0.1275,0.00626959247648906,0.2
6437,2,1,0,0,6512,119,0.0709470304975923,0.0841584158415842,0.0288659793814433,0.0567685589519651,0,NaN,0,NaN
6414,2,0,3,0,1239,2034,0.0305250305250305,0.181102362204724,0.036697247706422,0.243243243243243,0.0205047318611987,0.0117753623188406,0.0136986301369864,0.00995024875621891
6435,2,0,3,0,2387,960,0.00606366851945428,0.242424242424242,0.00497512437810943,0.0909090909090909,0.00469483568075113,0.833333333333333,0.015625,0
6411,2,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
